City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rabaul,-4.1967,152.1721,300.68,76,58,1.09,PG,1714253995
1,Edinburgh of the seven seas,-37.0676,-12.3116,285.59,71,98,12.48,SH,1714253899
2,Kaiapoi,-43.3783,172.6401,289.57,77,9,1.03,NZ,1714253995
3,Bethel,41.3712,-73.414,288.26,37,0,6.17,US,1714253807
4,Jamestown,42.097,-79.2353,291.88,71,99,5.81,US,1714253904
5,Yellowknife,62.456,-114.3525,273.38,55,20,4.12,CA,1714253694
6,Georgetown,5.4112,100.3354,302.11,85,20,1.54,MY,1714253731
7,Hobyo,5.3505,48.5268,302.45,78,72,6.81,SO,1714253995
8,Carolina beach,34.0352,-77.8936,294.86,78,50,0.45,US,1714253996
9,Prado,-17.3411,-39.2208,297.57,77,0,3.4,BR,1714253996
10,Grytviken,-54.2811,-36.5092,277.08,99,100,7.9,GS,1714253901
11,Codrington,-38.2667,141.9667,282.0,70,77,4.17,AU,1714253913
12,Tolanaro,-25.0319,46.9987,296.19,88,40,2.06,MG,1714253935
13,Taoudenni,22.6783,-3.9836,302.41,32,86,9.67,ML,1714253929
14,Petropavlovsk-kamchatsky,53.0452,158.6483,275.62,99,75,1.0,RU,1714253910
15,Waitangi,-43.9535,-176.5597,286.94,80,18,2.68,NZ,1714253900
16,Tiksi,71.6872,128.8694,255.11,91,39,1.81,RU,1714253899
17,Kununurra,-15.7667,128.7333,290.14,72,5,1.54,AU,1714253916
18,Port-aux-francais,-49.35,70.2167,278.54,73,100,8.78,TF,1714253901
19,Suva,-18.1416,178.4415,300.86,94,75,2.06,FJ,1714253906
20,Avarua,-21.2078,-159.775,301.18,83,75,8.75,CK,1714253913
21,Dhidhdhoo,6.8833,73.1,302.84,71,100,1.36,MV,1714253996
22,Popondetta,-8.7537,148.2534,300.07,83,98,0.1,PG,1714253996
23,Al jawf,29.5,38.75,297.85,33,100,0.93,SA,1714253996
24,Kuala belait,4.5833,114.1833,300.24,90,100,1.44,BN,1714253997
25,Hillsdale,41.0026,-74.0404,287.82,43,100,7.2,US,1714253704
26,Micheweni,-4.9667,39.8333,300.13,79,89,6.83,TZ,1714253997
27,Nova sintra,14.8667,-24.7167,296.46,82,60,9.85,CV,1714253918
28,Dudinka,69.4058,86.1778,261.3,98,100,1.79,RU,1714253923
29,Qui nhon,13.7667,109.2333,299.38,89,94,4.23,VN,1714253997
30,Talnakh,69.4865,88.3972,265.19,95,100,3.43,RU,1714253907
31,Sanctuary point,-35.1114,150.629,286.11,80,5,2.17,AU,1714253997
32,Albany,42.6001,-73.9662,290.51,70,100,2.45,US,1714253749
33,Al ghayzah,16.2079,52.176,300.63,73,86,3.94,YE,1714253997
34,Xinyuan,37.3,99.0,275.21,48,100,0.37,CN,1714253997
35,Hithadhoo,-0.6,73.0833,302.87,74,100,4.68,MV,1714253902
36,Trapani,37.8333,12.6667,286.2,88,0,1.54,IT,1714253997
37,Nuuk,64.1835,-51.7216,275.49,80,75,2.57,GL,1714253997
38,Port mathurin,-19.6833,63.4167,299.91,69,25,3.84,MU,1714253911
39,Olonkinbyen,70.9221,-8.7187,273.1,83,45,1.81,SJ,1714253899
40,Papatowai,-46.5619,169.4708,285.61,76,10,1.55,NZ,1714253905
41,Mount isa,-20.7333,139.5,290.02,48,0,2.57,AU,1714253998
42,Nova olinda do norte,-3.8881,-59.0942,299.43,86,79,1.27,BR,1714253998
43,Cole harbour,44.6724,-63.4751,283.25,34,0,2.68,CA,1714253941
44,Acapulco de juarez,16.8634,-99.8901,302.05,70,40,2.06,MX,1714253657
